Dimension,Time,Rank,Inlcuded,Actual Time
Bushes,1,,1,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,0,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,1,1
Lake,1,,0,1
Mountains,1,,0,1
Mountain,1,,0,1
River,1,,1,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,1,1
Clouds,1,,1,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,0,1
Mountains,1,,0,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,1,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,1,1
Bushes,1,,0,1
Cabin,1,,1,1
Clouds,1,,0,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,0,1
Mountains,1,,1,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,1,1
Bushes,1,,1,1
Cabin,1,,0,1
Clouds,1,,1,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,0,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,0,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,0,1
Mountains,1,,0,1
Mountain,1,,0,1
River,1,,1,1
Rocks,1,,1,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,1,1
Clouds,1,,0,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,1,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,1,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,1,1
Bushes,1,,0,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,0,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,1,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,1,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,1,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,0,1
Clouds,1,,1,1
Conifer,1,,0,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,0,1
Mountains,1,,0,1
Mountain,1,,0,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,0,1
Tree,1,,0,1
Winter,1,,0,1
Bushes,1,,1,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,0,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,0,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,0,1
Mountain,1,,0,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,0,1
Cabin,1,,0,1
Clouds,1,,1,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,0,1
Framed,1,,0,1
Grass,1,,0,1
Lake,1,,1,1
Mountains,1,,1,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,1,,1,1
Cabin,1,,0,1
Clouds,1,,0,1
Conifer,1,,1,1
Cumulus,1,,0,1
Deciduous,1,,1,1
Framed,1,,0,1
Grass,1,,1,1
Lake,1,,0,1
Mountains,1,,0,1
Mountain,1,,1,1
River,1,,0,1
Rocks,1,,0,1
Snow,1,,0,1
Trees,1,,1,1
Tree,1,,1,1
Winter,1,,0,1
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,0,2
Conifer,2,,1,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,1,2
Mountains,2,,0,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,0,2
Conifer,2,,1,2
Cumulus,2,,0,2
Deciduous,2,,0,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,1,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,1,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,0,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,0,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,1,2
Clouds,2,,1,2
Conifer,2,,1,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,1,2
Mountains,2,,1,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,1,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,0,2
